Filename,Sample Rate,Duration (s),Channels
17941-indian-music-vintagesense-reporter-raju-00-1962-s-mohinder-title--dance-music-s-mohinder-vintagesense-song-id-17941.mp3,11025,274.338,2
18172-indian-music-vintagesense-sikandar-1-uth-jag-javani-vintagesense-song-id-18172.mp3,8000,192.312,2
18137-indian-music-vintagesense-shikari46-kuchhrangbadalrahihai-vintagesense-song-id-18137.mp3,11025,167.079,2
17615-indian-music-vintagesense-pittsburgh-arabiannights-1946-m-kanandevi-suno2kya-kdg-vintagesense-song-id-17615.mp3,11025,205.166,2
06168-indian-music-vintagesense-1954-laalpari1954-kahrahihaidhadkanepukarke-geetadutttalat-vintagesense-song-id-06168.mp3,8000,202.032,2
17665-indian-music-vintagesense-pittsburgh-timirbaran-orchestra-1-vintagesense-song-id-17665.mp3,11025,256.47,2
18665-indian-music-vintagesense-zindagi-aur-hum-06-1962-lata-tu-hum-ko-dekh-aur-hamaari-nazae-se-dekh-roshan-vintagesense-song-id-18665.mp3,11025,194.403,2
17635-indian-music-vintagesense-pittsburgh-jawanikireet-1939-chorus-moheunbinyejals-rcb-vintagesense-song-id-17635.mp3,11025,175.491,2
18117-indian-music-vintagesense-shankarparvati-1943-sadhanabose-nainapanghat-gyandutt-1-0001-b-vintagesense-song-id-18117.mp3,11025,172.774,2
17930-indian-music-vintagesense-rashtraveer-shivaji-03-1962-manna-dey-apna-desh-dharam-dhanya-dhanya-woh-veer-suresh-talwar1-vintagesense-song-id-17930.mp3,11025,288.235,2
12509-indian-music-vintagesense-1967-c.i.d9091967-opnayyar-1967c.i.d909196707dancemusic-vintagesense-song-id-12509.mp3,11025,77.009,2
18106-indian-music-vintagesense-shama46-ikyaadkisikiyaadraheshamshad-durrani-vintagesense-song-id-18106.mp3,11025,215.353,2
17690-indian-music-vintagesense-portland2005-12-vintagesense-song-id-17690.mp3,8000,193.104,2
18602-indian-music-vintagesense-waheedan-khwaja-dulha-aya-ajmeri-vintagesense-song-id-18602.mp3,44100,186.436,2
12575-indian-music-vintagesense-1967-jabyaadkisikiaatihai1967-lata-1967jabyaadkisikiaatihai196710piyasemilanhogaya-vintagesense-song-id-12575.mp3,11025,310.805,2
18104-indian-music-vintagesense-shama46-ikterasaharasuraiya-vintagesense-song-id-18104.mp3,11025,196.754,2
17841-indian-music-vintagesense-qanoon-1943-nirmala-sayyankhademoredwar-naushad-0002-b-vintagesense-song-id-17841.mp3,11025,152.921,2
18605-indian-music-vintagesense-wamiqazra46-hayedodilmiltemilterahgaye-vintagesense-song-id-18605.mp3,11025,202.031,2
11296-indian-music-vintagesense-1964-daal-me-kala-07-1964-manna-deyasha-chitalkar-meray-sapno-mei-n-mohabbat-karna-hai-aasaan-c-ramchandra-vintagesense-song-id-11296.mp3,12000,255.504,2
12553-indian-music-vintagesense-1967-hamraaz1967-ashamahendarkapoor-1967hamraaz196712tuhusnhaimainishqhoon-vintagesense-song-id-12553.mp3,11025,457.143,2
18128-indian-music-vintagesense-sharda1942015505-meredilkosajansamjhado-vintagesense-song-id-18128.mp3,11025,221.257,2
18181-indian-music-vintagesense-singaar-02-ai-2-suhag-ki-vintagesense-song-id-18181.mp3,8000,158.904,2
05843-indian-music-vintagesense-1954-bilwa-mangal-01-kajal-wali-akhiyaan-shamshad-dn-madhok-bulo-c-raani-vintagesense-song-id-05843.mp3,11025,184.947,2
12501-indian-music-vintagesense-1967-bahubegum1967-rafi-1967bahubegum1967logkahatehain-vintagesense-song-id-12501.mp3,11025,212.532,2
01574-indian-music-vintagesense-1944-aaina-06-bharatmata-ki-beti-zoharabai-chorus-pt-fani-faleh-ali-khan-vintagesense-song-id-01574.mp3,44100,189.727,2
18641-indian-music-vintagesense-zaban43-chalrechalabaurkahin-vintagesense-song-id-18641.mp3,11025,165.303,2
05847-indian-music-vintagesense-1954-bilwa-mangal-05-o-diwali-ke-diye-suraiya-ch-atma-dn-madhok-bulo-c-raani-vintagesense-song-id-05847.mp3,11025,207.099,2
06189-indian-music-vintagesense-1954-lakeeren-05-jab-teer-chalaataa-nainon-ke-shamshad-chorus-sevan-rizavi-hafiz-khan-vintagesense-song-id-06189.mp3,11025,401.241,2
05863-indian-music-vintagesense-1954-biraj-bahu-03-tera-ghar-aabad-rahe-lata-shyamal-mitra-chorus-prem-dhawan-salil-choudhary-vintagesense-song-id-05863.mp3,11025,174.602,2
17603-indian-music-vintagesense-pittsburgh-aandhi-1940-pm-bedardi-duniyaaabadhai-kcde-vintagesense-song-id-17603.mp3,11025,189.597,2
17966-indian-music-vintagesense-rr43-04-o-raanii-vintagesense-song-id-17966.mp3,8000,179.784,2
12514-indian-music-vintagesense-1967-chandankapalna1967-mannadeyasha-1967chandankapalna196706baatkarteho-vintagesense-song-id-12514.mp3,11025,361.012,2
18177-indian-music-vintagesense-sikandar-6-phulvaran-lage-chor-vintagesense-song-id-18177.mp3,8000,158.328,2
05892-indian-music-vintagesense-1954-chakradhari-03-arey-o-meri-saas-ke-ladke-asha-rafi-pradeep-avinaas-vyas-vintagesense-song-id-05892.mp3,11025,92.526,2
18180-indian-music-vintagesense-singaar-01-dharak-2-tere-vintagesense-song-id-18180.mp3,8000,198.864,2
17644-indian-music-vintagesense-pittsburgh-mala-utpala-nitasen-nilimasanyalshailomitra-manmekisne-sigaurswamisirenpal-h1424-vintagesense-song-id-17644.mp3,11025,194.612,2
18660-indian-music-vintagesense-zindagi-aur-hum-01-1962-lata-sudha-malhotra-hum-teri-lagan-mei-n-magan-tu-milay-sanam-to-1-roshan-vintagesense-song-id-18660.mp3,11025,146.756,2
17901-indian-music-vintagesense-rajpuramani36-08-ghadiyan-ayin-sukhdayi-vintagesense-song-id-17901.mp3,8000,184.824,2
01594-indian-music-vintagesense-1944-bharthari-06-chandaa-desh-piya-ke-jaa-ameerbai-khemchand-prakash-vintagesense-song-id-01594.mp3,11025,184.686,2
06110-indian-music-vintagesense-1954-ishtilli-1954-chi-chu-chi-ganderian-shamshad-chorus-vintagesense-song-id-06110.mp3,11025,187.716,2
01538-indian-music-vintagesense-1943-zabaan-07-dekhahaieksapansuhaana-vintagesense-song-id-01538.mp3,11025,173.349,2
